Revenue,Duration,Score,genre,,,,,,,,
286140700,109,6.4,878,,,,,,,,
115772733,119,6.3,28,,,,,,,,
242688965,102,5.7,28,,,,,,,,
93945766,135,5.7,28,,,,,,,,
48668907,121,4.9,35,,,,,,,,
261930431,109,5.9,28,,,,,,,,
286168572,124,6.4,28,,,,,,,,
850000000,140,7.1,878,,,,,,,,
649398328,142,6.4,12,,,,,,,,
562816256,92,7.5,16,,,,,,,,
415440673,126,6.3,28,,,,,,,,
924317558,136,6.3,12,,,,,,,,
585178928,98,6.8,12,,,,,,,,
132900000,116,5,14,,,,,,,,
77628265,134,5.8,18,,,,,,,,
164602163,114,6,28,,,,,,,,
477200000,101,5.8,878,,,,,,,,
716392705,91,7.3,878,,,,,,,,
178127760,108,5.7,28,,,,,,,,
245623848,112,5.8,14,,,,,,,,
167977596,100,4.4,28,,,,,,,,
574480841,108,6.3,28,,,,,,,,
470490832,114,6,28,,,,,,,,
333011068,119,6,12,,,,,,,,
215294342,165,6.8,18,,,,,,,,
362744280,125,6.4,53,,,,,,,,
478207520,120,6.5,28,,,,,,,,
295238201,119,6.2,12,,,,,,,,
102000000,170,7,18,,,,,,,,
237382724,85,4.9,35,,,,,,,,
227817248,119,5.5,28,,,,,,,,
337580051,102,6.1,28,,,,,,,,
563749323,103,5.5,16,,,,,,,,
103951461,76,5.7,16,,,,,,,,
179246868,121,5.9,12,,,,,,,,
299268508,127,6.6,28,,,,,,,,
347434178,105,5.5,14,,,,,,,,
164508066,121,4.1,28,,,,,,,,
125537191,114,6.6,878,,,,,,,,
383531464,128,6.4,28,,,,,,,,
871368364,178,8,12,,,,,,,,
72178895,120,5.7,28,,,,,,,,
87713825,157,6.7,18,,,,,,,,
347234916,115,6.7,28,,,,,,,,
211643158,144,6.6,18,,,,,,,,
300135367,84,5.8,16,,,,,,,,
267045765,97,6.7,10749,,,,,,,,
630161890,141,7.6,18,,,,,,,,
162949164,136,6.5,28,,,,,,,,
10372291,104,3.7,35,,,,,,,,
237202299,118,6.1,28,,,,,,,,
457640427,155,7.9,28,,,,,,,,
358372926,145,7.1,28,,,,,,,,
876688482,161,7.4,12,,,,,,,,
599045960,144,7.3,12,,,,,,,,
362211740,119,5.6,53,,,,,,,,
520000000,137,7.7,28,,,,,,,,
214104620,140,6.5,36,,,,,,,,
266465037,157,7.4,18,,,,,,,,
378882411,141,6.8,28,,,,,,,,
150166126,106,6.2,53,,,,,,,,
310650585,98,5.4,35,,,,,,,,
170432927,107,6.1,28,,,,,,,,
242295562,115,5.6,28,,,,,,,,
425368238,165,7.8,18,,,,,,,,
100138851,91,6.8,18,,,,,,,,
169327687,78,7.2,12,,,,,,,,
312573423,103,6.1,28,,,,,,,,
347451894,131,6.4,12,,,,,,,,
249288105,104,4.9,14,,,,,,,,
100086793,101,6.4,10751,,,,,,,,
268426634,102,6.4,16,,,,,,,,
278731369,103,6,28,,,,,,,,
211989043,121,5.5,28,,,,,,,,
170877916,143,7.3,18,,,,,,,,
392000694,180,7.9,80,,,,,,,,
336529144,121,5.2,28,,,,,,,,
121214377,129,6.7,12,,,,,,,,
130482868,172,6.6,18,,,,,,,,
140073390,97,6.5,16,,,,,,,,
82102379,104,4.2,28,,,,,,,,
243400000,99,5.6,28,,,,,,,,
109578115,95,7.2,12,,,,,,,,
68688831,102,5.3,12,,,,,,,,
206172544,127,6.1,28,,,,,,,,
133718711,114,5.5,28,,,,,,,,
0,94,3.6,14,,,,,,,,
93820758,122,6.5,53,,,,,,,,
7103973,95,4.4,28,,,,,,,,
94882889,115,6.4,10752,,,,,,,,
246233113,88,6.5,16,,,,,,,,
13835130,110,7.1,80,,,,,,,,
433013274,130,6,12,,,,,,,,
193772504,167,7.1,18,,,,,,,,
95311434,145,7.1,18,,,,,,,,
149044513,85,5.9,16,,,,,,,,
102000000,93,5.4,28,,,,,,,,
172989651,144,7.2,28,,,,,,,,
104907746,85,5.6,35,,,,,,,,
263920180,126,7.3,12,,,,,,,,
288347692,146,5.4,35,,,,,,,,
76432727,89,7,12,,,,,,,,
877244782,88,6.2,16,,,,,,,,
543514353,105,6.7,10749,,,,,,,,
93525586,136,6.6,14,,,,,,,,
940335536,100,7.6,16,,,,,,,,
1118888979,201,8.1,12,,,,,,,,
926287400,179,8,12,,,,,,,,
114178613,102,5.2,12,,,,,,,,
274703340,100,5.7,12,,,,,,,,
103039258,119,5.9,53,,,,,,,,
368780809,92,5.7,12,,,,,,,,
482860185,105,7,53,,,,,,,,
162839667,95,6.3,12,,,,,,,,
304654182,98,5.2,28,,,,,,,,
25819961,137,5.8,37,,,,,,,,
631442092,115,7.4,28,,,,,,,,
10017322,119,5.7,28,,,,,,,,
226497209,118,6,12,,,,,,,,
589390539,98,6.9,28,,,,,,,,
497366869,92,7.3,16,,,,,,,,
167805466,98,6.3,28,,,,,,,,
347325802,90,6.4,28,,,,,,,,
155464351,130,6.3,18,,,,,,,,
242988466,90,6.5,16,,,,,,,,
886686817,94,6.5,16,,,,,,,,
188133322,114,7,12,,,,,,,,
264105545,98,5.6,28,,,,,,,,
289847354,151,7.9,18,,,,,,,,
304320254,88,7.6,16,,,,,,,,
188072649,107,6.5,28,,,,,,,,
232617430,158,7.2,53,,,,,,,,
366101666,128,6.9,28,,,,,,,,
524028679,128,7,28,,,,,,,,
94061311,125,5.3,18,,,,,,,,
186053725,95,6.7,16,,,,,,,,
233755553,92,5.8,12,,,,,,,,
200276000,121,6.7,18,,,,,,,,
201596308,113,5.5,35,,,,,,,,
243637091,105,5.6,28,,,,,,,,
235926552,146,6.8,18,,,,,,,,
182290266,99,5.2,53,,,,,,,,
171120329,150,7.2,18,,,,,,,,
190213455,112,5.6,28,,,,,,,,
162944923,128,6.2,80,,,,,,,,
174578751,106,5.9,12,,,,,,,,
156505388,117,5.5,28,,,,,,,,
334901337,129,6.7,28,,,,,,,,
118063304,116,5.9,53,,,,,,,,
143049560,126,6.8,28,,,,,,,,
60874615,114,5.7,878,,,,,,,,
484635760,96,6.5,16,,,,,,,,
93700000,131,6.9,35,,,,,,,,
0,104,5.2,878,,,,,,,,
140807547,107,5.9,80,,,,,,,,
